Indicator,Country,Date,value
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-03-10,6.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-03-10,8.0
"Cumulative number of confirmed Ebola cases",Nigeria,2015-03-10,19.0
"Cumulative number of probable Ebola cases",Nigeria,2015-03-10,1.0
"Cumulative number of suspected Ebola cases",Nigeria,2015-03-10,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-03-10,20.0
"Cumulative number of confirmed Ebola cases",Senegal,2015-03-10,1.0
"Cumulative number of probable Ebola cases",Senegal,2015-03-10,0.0
"Cumulative number of suspected Ebola cases",Senegal,2015-03-10,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-03-10,1.0
"Cumulative number of confirmed Ebola cases",Spain,2015-03-10,1.0
"Cumulative number of probable Ebola cases",Spain,2015-03-10,0.0
"Cumulative number of suspected Ebola cases",Spain,2015-03-10,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-03-10,1.0
"Cumulative number of confirmed Ebola cases","United States of America",2015-03-10,4.0
"Cumulative number of probable Ebola cases","United States of America",2015-03-10,0.0
"Cumulative number of suspected Ebola cases","United States of America",2015-03-10,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United States of America",2015-03-10,4.0
"Cumulative number of confirmed Ebola deaths",Nigeria,2015-03-10,7.0
"Cumulative number of probable Ebola deaths",Nigeria,2015-03-10,1.0
"Cumulative number of suspected Ebola deaths",Nigeria,2015-03-10,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-03-10,8.0
"Cumulative number of confirmed Ebola deaths",Senegal,2015-03-10,0.0
"Cumulative number of probable Ebola deaths",Senegal,2015-03-10,0.0
"Cumulative number of suspected Ebola deaths",Senegal,2015-03-10,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-03-10,0.0
"Cumulative number of confirmed Ebola deaths",Spain,2015-03-10,0.0
"Cumulative number of probable Ebola deaths",Spain,2015-03-10,0.0
"Cumulative number of suspected Ebola deaths",Spain,2015-03-10,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-03-10,0.0
"Cumulative number of confirmed Ebola deaths","United States of America",2015-03-10,1.0
"Cumulative number of probable Ebola deaths","United States of America",2015-03-10,0.0
"Cumulative number of suspected Ebola deaths","United States of America",2015-03-10,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United States of America",2015-03-10,1.0
"Cumulative number of confirmed Ebola cases","United Kingdom",2015-03-06,1.0
"Cumulative number of probable Ebola cases","United Kingdom",2015-03-06,0.0
"Cumulative number of suspected Ebola cases","United Kingdom",2015-03-06,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United Kingdom",2015-03-06,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-03-06,3248.0
"Cumulative number of confirmed Ebola cases",Guinea,2015-03-06,2840.0
"Cumulative number of probable Ebola cases",Guinea,2015-03-06,392.0
"Cumulative number of suspected Ebola cases",Guinea,2015-03-06,16.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-03-06,2147.0
"Cumulative number of confirmed Ebola deaths",Guinea,2015-03-06,1755.0
"Cumulative number of probable Ebola deaths",Guinea,2015-03-06,392.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-03-06,9249.0
"Cumulative number of confirmed Ebola cases",Liberia,2015-03-06,3150.0
"Cumulative number of probable Ebola cases",Liberia,2015-03-06,1877.0
"Cumulative number of suspected Ebola cases",Liberia,2015-03-06,4222.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-03-06,4117.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Sierra Leone",2015-03-06,11517.0
"Cumulative number of confirmed Ebola cases","Sierra Leone",2015-03-06,8389.0
"Cumulative number of probable Ebola cases","Sierra Leone",2015-03-06,287.0
"Cumulative number of suspected Ebola cases","Sierra Leone",2015-03-06,2841.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Sierra Leone",2015-03-06,3576.0
"Cumulative number of confirmed Ebola deaths","Sierra Leone",2015-03-06,3210.0
"Cumulative number of probable Ebola deaths","Sierra Leone",2015-03-06,208.0
"Cumulative number of suspected Ebola deaths","Sierra Leone",2015-03-06,158.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United Kingdom",2015-03-06,1.0
"Cumulative number of confirmed Ebola cases",Mali,2015-03-06,7.0
"Cumulative number of probable Ebola cases",Mali,2015-03-06,1.0
"Cumulative number of suspected Ebola cases",Mali,2015-03-06,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-03-06,6.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-03-06,8.0
"Cumulative number of confirmed Ebola cases",Nigeria,2015-03-06,19.0
"Cumulative number of probable Ebola cases",Nigeria,2015-03-06,1.0
"Cumulative number of suspected Ebola cases",Nigeria,2015-03-06,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-03-06,20.0
"Cumulative number of confirmed Ebola cases",Senegal,2015-03-06,1.0
"Cumulative number of probable Ebola cases",Senegal,2015-03-06,0.0
"Cumulative number of suspected Ebola cases",Senegal,2015-03-06,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-03-06,1.0
"Cumulative number of confirmed Ebola cases",Spain,2015-03-06,1.0
"Cumulative number of probable Ebola cases",Spain,2015-03-06,0.0
"Cumulative number of suspected Ebola cases",Spain,2015-03-06,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-03-06,1.0
"Cumulative number of confirmed Ebola cases","United States of America",2015-03-06,4.0
"Cumulative number of probable Ebola cases","United States of America",2015-03-06,0.0
"Cumulative number of suspected Ebola cases","United States of America",2015-03-06,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United States of America",2015-03-06,4.0
"Cumulative number of confirmed Ebola deaths",Nigeria,2015-03-06,7.0
"Cumulative number of probable Ebola deaths",Nigeria,2015-03-06,1.0
"Cumulative number of suspected Ebola deaths",Nigeria,2015-03-06,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-03-06,8.0
"Cumulative number of confirmed Ebola deaths",Senegal,2015-03-06,0.0
"Cumulative number of probable Ebola deaths",Senegal,2015-03-06,0.0
"Cumulative number of suspected Ebola deaths",Senegal,2015-03-06,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-03-06,0.0
"Cumulative number of confirmed Ebola deaths",Spain,2015-03-06,0.0
"Cumulative number of probable Ebola deaths",Spain,2015-03-06,0.0
"Cumulative number of suspected Ebola deaths",Spain,2015-03-06,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-03-06,0.0
"Cumulative number of confirmed Ebola deaths","United States of America",2015-03-06,1.0
"Cumulative number of probable Ebola deaths","United States of America",2015-03-06,0.0
"Cumulative number of suspected Ebola deaths","United States of America",2015-03-06,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United States of America",2015-03-06,1.0
"Cumulative number of confirmed Ebola cases","United Kingdom",2015-03-05,1.0
"Cumulative number of probable Ebola cases","United Kingdom",2015-03-05,0.0
"Cumulative number of suspected Ebola cases","United Kingdom",2015-03-05,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United Kingdom",2015-03-05,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-03-05,3237.0
"Cumulative number of confirmed Ebola cases",Guinea,2015-03-05,2833.0
"Cumulative number of probable Ebola cases",Guinea,2015-03-05,392.0
"Cumulative number of suspected Ebola cases",Guinea,2015-03-05,12.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-03-05,2141.0
"Cumulative number of confirmed Ebola deaths",Guinea,2015-03-05,1749.0
"Cumulative number of probable Ebola deaths",Guinea,2015-03-05,392.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-03-05,9249.0
"Cumulative number of confirmed Ebola cases",Liberia,2015-03-05,3150.0
"Cumulative number of probable Ebola cases",Liberia,2015-03-05,1877.0
"Cumulative number of suspected Ebola cases",Liberia,2015-03-05,4222.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-03-05,4117.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Sierra Leone",2015-03-05,11497.0
"Cumulative number of confirmed Ebola cases","Sierra Leone",2015-03-05,8383.0
"Cumulative number of probable Ebola cases","Sierra Leone",2015-03-05,287.0
"Cumulative number of suspected Ebola cases","Sierra Leone",2015-03-05,2827.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Sierra Leone",2015-03-05,3565.0
"Cumulative number of confirmed Ebola deaths","Sierra Leone",2015-03-05,3199.0
"Cumulative number of probable Ebola deaths","Sierra Leone",2015-03-05,208.0
"Cumulative number of suspected Ebola deaths","Sierra Leone",2015-03-05,158.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United Kingdom",2015-03-05,1.0
"Cumulative number of confirmed Ebola cases",Mali,2015-03-05,7.0
"Cumulative number of probable Ebola cases",Mali,2015-03-05,1.0
"Cumulative number of suspected Ebola cases",Mali,2015-03-05,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-03-05,6.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-03-05,8.0
"Cumulative number of confirmed Ebola cases",Nigeria,2015-03-05,19.0
"Cumulative number of probable Ebola cases",Nigeria,2015-03-05,1.0
"Cumulative number of suspected Ebola cases",Nigeria,2015-03-05,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-03-05,20.0
"Cumulative number of confirmed Ebola cases",Senegal,2015-03-05,1.0
"Cumulative number of probable Ebola cases",Senegal,2015-03-05,0.0
"Cumulative number of suspected Ebola cases",Senegal,2015-03-05,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-03-05,1.0
"Cumulative number of confirmed Ebola cases",Spain,2015-03-05,1.0
"Cumulative number of probable Ebola cases",Spain,2015-03-05,0.0
"Cumulative number of suspected Ebola cases",Spain,2015-03-05,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-03-05,1.0
"Cumulative number of confirmed Ebola cases","United States of America",2015-03-05,4.0
"Cumulative number of probable Ebola cases","United States of America",2015-03-05,0.0
"Cumulative number of suspected Ebola cases","United States of America",2015-03-05,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United States of America",2015-03-05,4.0
"Cumulative number of confirmed Ebola deaths",Nigeria,2015-03-05,7.0
"Cumulative number of probable Ebola deaths",Nigeria,2015-03-05,1.0
"Cumulative number of suspected Ebola deaths",Nigeria,2015-03-05,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-03-05,8.0
"Cumulative number of confirmed Ebola deaths",Senegal,2015-03-05,0.0
"Cumulative number of probable Ebola deaths",Senegal,2015-03-05,0.0
"Cumulative number of suspected Ebola deaths",Senegal,2015-03-05,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-03-05,0.0
"Cumulative number of confirmed Ebola deaths",Spain,2015-03-05,0.0
"Cumulative number of probable Ebola deaths",Spain,2015-03-05,0.0
"Cumulative number of suspected Ebola deaths",Spain,2015-03-05,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-03-05,0.0
"Cumulative number of confirmed Ebola deaths","United States of America",2015-03-05,1.0
"Cumulative number of probable Ebola deaths","United States of America",2015-03-05,0.0
"Cumulative number of suspected Ebola deaths","United States of America",2015-03-05,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United States of America",2015-03-05,1.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United Kingdom",2015-03-04,0.0
"Cumulative number of probable Ebola cases","United Kingdom",2015-03-04,0.0
"Cumulative number of suspected Ebola cases","United Kingdom",2015-03-04,0.0
"Cumulative number of confirmed Ebola cases","United Kingdom",2015-03-04,1.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United Kingdom",2015-03-04,1.0
"Cumulative number of confirmed Ebola cases",Mali,2015-03-04,7.0
"Cumulative number of probable Ebola cases",Mali,2015-03-04,1.0
"Cumulative number of suspected Ebola cases",Mali,2015-03-04,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-03-04,6.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-03-04,8.0
"Cumulative number of confirmed Ebola cases",Nigeria,2015-03-04,19.0
"Cumulative number of probable Ebola cases",Nigeria,2015-03-04,1.0
"Cumulative number of suspected Ebola cases",Nigeria,2015-03-04,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-03-04,20.0
"Cumulative number of confirmed Ebola cases",Senegal,2015-03-04,1.0
"Cumulative number of probable Ebola cases",Senegal,2015-03-04,0.0
"Cumulative number of suspected Ebola cases",Senegal,2015-03-04,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-03-04,1.0
"Cumulative number of confirmed Ebola cases",Spain,2015-03-04,1.0
"Cumulative number of probable Ebola cases",Spain,2015-03-04,0.0
"Cumulative number of suspected Ebola cases",Spain,2015-03-04,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-03-04,1.0
"Cumulative number of confirmed Ebola cases","United States of America",2015-03-04,4.0
"Cumulative number of probable Ebola cases","United States of America",2015-03-04,0.0
"Cumulative number of suspected Ebola cases","United States of America",2015-03-04,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United States of America",2015-03-04,4.0
"Cumulative number of confirmed Ebola deaths",Nigeria,2015-03-04,7.0
"Cumulative number of probable Ebola deaths",Nigeria,2015-03-04,1.0
"Cumulative number of suspected Ebola deaths",Nigeria,2015-03-04,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-03-04,8.0
"Cumulative number of confirmed Ebola deaths",Senegal,2015-03-04,0.0
"Cumulative number of probable Ebola deaths",Senegal,2015-03-04,0.0
"Cumulative number of suspected Ebola deaths",Senegal,2015-03-04,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-03-04,0.0
"Cumulative number of confirmed Ebola deaths",Spain,2015-03-04,0.0
"Cumulative number of probable Ebola deaths",Spain,2015-03-04,0.0
"Cumulative number of suspected Ebola deaths",Spain,2015-03-04,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-03-04,0.0
"Cumulative number of confirmed Ebola deaths","United States of America",2015-03-04,1.0
"Cumulative number of probable Ebola deaths","United States of America",2015-03-04,0.0
"Cumulative number of suspected Ebola deaths","United States of America",2015-03-04,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United States of America",2015-03-04,1.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-03-04,3205.0
"Cumulative number of confirmed Ebola cases",Guinea,2015-03-04,2808.0
"Cumulative number of probable Ebola cases",Guinea,2015-03-04,392.0
"Cumulative number of suspected Ebola cases",Guinea,2015-03-04,5.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-03-04,2127.0
"Cumulative number of confirmed Ebola deaths",Guinea,2015-03-04,1735.0
"Cumulative number of probable Ebola deaths",Guinea,2015-03-04,392.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-03-04,9265.0
"Cumulative number of confirmed Ebola cases",Liberia,2015-03-04,3153.0
"Cumulative number of probable Ebola cases",Liberia,2015-03-04,1888.0
"Cumulative number of suspected Ebola cases",Liberia,2015-03-04,4224.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-03-04,4057.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Sierra Leone",2015-03-04,11443.0
"Cumulative number of confirmed Ebola cases","Sierra Leone",2015-03-04,8353.0
"Cumulative number of probable Ebola cases","Sierra Leone",2015-03-04,287.0
"Cumulative number of suspected Ebola cases","Sierra Leone",2015-03-04,2803.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Sierra Leone",2015-03-04,3530.0
"Cumulative number of confirmed Ebola deaths","Sierra Leone",2015-03-04,3164.0
"Cumulative number of probable Ebola deaths","Sierra Leone",2015-03-04,208.0
"Cumulative number of suspected Ebola deaths","Sierra Leone",2015-03-04,158.0
"Cumulative number of confirmed Ebola cases","United Kingdom",2015-03-02,1.0
"Cumulative number of probable Ebola cases","United Kingdom",2015-03-02,0.0
"Cumulative number of suspected Ebola cases","United Kingdom",2015-03-02,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United Kingdom",2015-03-02,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-03-02,3205.0
"Cumulative number of confirmed Ebola cases",Guinea,2015-03-02,2808.0
"Cumulative number of probable Ebola cases",Guinea,2015-03-02,392.0
"Cumulative number of suspected Ebola cases",Guinea,2015-03-02,5.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-03-02,2127.0
"Cumulative number of confirmed Ebola deaths",Guinea,2015-03-02,1735.0
"Cumulative number of probable Ebola deaths",Guinea,2015-03-02,392.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-03-02,9265.0
"Cumulative number of confirmed Ebola cases",Liberia,2015-03-02,3153.0
"Cumulative number of probable Ebola cases",Liberia,2015-03-02,1888.0
"Cumulative number of suspected Ebola cases",Liberia,2015-03-02,4224.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-03-02,4057.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Sierra Leone",2015-03-02,11443.0
"Cumulative number of confirmed Ebola cases","Sierra Leone",2015-03-02,8353.0
"Cumulative number of probable Ebola cases","Sierra Leone",2015-03-02,287.0
"Cumulative number of suspected Ebola cases","Sierra Leone",2015-03-02,2803.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Sierra Leone",2015-03-02,3530.0
"Cumulative number of confirmed Ebola deaths","Sierra Leone",2015-03-02,3164.0
"Cumulative number of probable Ebola deaths","Sierra Leone",2015-03-02,208.0
"Cumulative number of suspected Ebola deaths","Sierra Leone",2015-03-02,158.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United Kingdom",2015-03-02,1.0
"Cumulative number of confirmed Ebola cases",Mali,2015-03-02,7.0
"Cumulative number of probable Ebola cases",Mali,2015-03-02,1.0
"Cumulative number of suspected Ebola cases",Mali,2015-03-02,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-03-02,6.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-03-02,8.0
"Cumulative number of confirmed Ebola cases",Nigeria,2015-03-02,19.0
"Cumulative number of probable Ebola cases",Nigeria,2015-03-02,1.0
"Cumulative number of suspected Ebola cases",Nigeria,2015-03-02,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-03-02,20.0
"Cumulative number of confirmed Ebola cases",Senegal,2015-03-02,1.0
"Cumulative number of probable Ebola cases",Senegal,2015-03-02,0.0
"Cumulative number of suspected Ebola cases",Senegal,2015-03-02,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-03-02,1.0
"Cumulative number of confirmed Ebola cases",Spain,2015-03-02,1.0
"Cumulative number of probable Ebola cases",Spain,2015-03-02,0.0
"Cumulative number of suspected Ebola cases",Spain,2015-03-02,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-03-02,1.0
"Cumulative number of confirmed Ebola cases","United States of America",2015-03-02,4.0
"Cumulative number of probable Ebola cases","United States of America",2015-03-02,0.0
"Cumulative number of suspected Ebola cases","United States of America",2015-03-02,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United States of America",2015-03-02,4.0
"Cumulative number of confirmed Ebola deaths",Nigeria,2015-03-02,7.0
"Cumulative number of probable Ebola deaths",Nigeria,2015-03-02,1.0
"Cumulative number of suspected Ebola deaths",Nigeria,2015-03-02,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-03-02,8.0
"Cumulative number of confirmed Ebola deaths",Senegal,2015-03-02,0.0
"Cumulative number of probable Ebola deaths",Senegal,2015-03-02,0.0
"Cumulative number of suspected Ebola deaths",Senegal,2015-03-02,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-03-02,0.0
"Cumulative number of confirmed Ebola deaths",Spain,2015-03-02,0.0
"Cumulative number of probable Ebola deaths",Spain,2015-03-02,0.0
"Cumulative number of suspected Ebola deaths",Spain,2015-03-02,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-03-02,0.0
"Cumulative number of confirmed Ebola deaths","United States of America",2015-03-02,1.0
"Cumulative number of probable Ebola deaths","United States of America",2015-03-02,0.0
"Cumulative number of suspected Ebola deaths","United States of America",2015-03-02,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United States of America",2015-03-02,1.0
"Cumulative number of confirmed Ebola cases","United Kingdom",2015-02-27,1.0
"Cumulative number of probable Ebola cases","United Kingdom",2015-02-27,0.0
"Cumulative number of suspected Ebola cases","United Kingdom",2015-02-27,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United Kingdom",2015-02-27,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-02-27,3190.0
"Cumulative number of confirmed Ebola cases",Guinea,2015-02-27,2790.0
"Cumulative number of probable Ebola cases",Guinea,2015-02-27,392.0
"Cumulative number of suspected Ebola cases",Guinea,2015-02-27,8.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-02-27,2113.0
"Cumulative number of confirmed Ebola deaths",Guinea,2015-02-27,1721.0
"Cumulative number of probable Ebola deaths",Guinea,2015-02-27,392.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-02-27,9265.0
"Cumulative number of confirmed Ebola cases",Liberia,2015-02-27,3153.0
"Cumulative number of probable Ebola cases",Liberia,2015-02-27,1888.0
"Cumulative number of suspected Ebola cases",Liberia,2015-02-27,4224.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-02-27,4057.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Sierra Leone",2015-02-27,11370.0
"Cumulative number of confirmed Ebola cases","Sierra Leone",2015-02-27,8320.0
"Cumulative number of probable Ebola cases","Sierra Leone",2015-02-27,287.0
"Cumulative number of suspected Ebola cases","Sierra Leone",2015-02-27,2763.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Sierra Leone",2015-02-27,3490.0
"Cumulative number of confirmed Ebola deaths","Sierra Leone",2015-02-27,3124.0
"Cumulative number of probable Ebola deaths","Sierra Leone",2015-02-27,208.0
"Cumulative number of suspected Ebola deaths","Sierra Leone",2015-02-27,158.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United Kingdom",2015-02-27,1.0
"Cumulative number of confirmed Ebola cases",Mali,2015-02-27,7.0
"Cumulative number of probable Ebola cases",Mali,2015-02-27,1.0
"Cumulative number of suspected Ebola cases",Mali,2015-02-27,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-02-27,6.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-02-27,8.0
"Cumulative number of confirmed Ebola cases",Nigeria,2015-02-27,19.0
"Cumulative number of probable Ebola cases",Nigeria,2015-02-27,1.0
"Cumulative number of suspected Ebola cases",Nigeria,2015-02-27,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-02-27,20.0
"Cumulative number of confirmed Ebola cases",Senegal,2015-02-27,1.0
"Cumulative number of probable Ebola cases",Senegal,2015-02-27,0.0
"Cumulative number of suspected Ebola cases",Senegal,2015-02-27,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-02-27,1.0
"Cumulative number of confirmed Ebola cases",Spain,2015-02-27,1.0
"Cumulative number of probable Ebola cases",Spain,2015-02-27,0.0
"Cumulative number of suspected Ebola cases",Spain,2015-02-27,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-02-27,1.0
"Cumulative number of confirmed Ebola cases","United States of America",2015-02-27,4.0
"Cumulative number of probable Ebola cases","United States of America",2015-02-27,0.0
"Cumulative number of suspected Ebola cases","United States of America",2015-02-27,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United States of America",2015-02-27,4.0
"Cumulative number of confirmed Ebola deaths",Nigeria,2015-02-27,7.0
"Cumulative number of probable Ebola deaths",Nigeria,2015-02-27,1.0
"Cumulative number of suspected Ebola deaths",Nigeria,2015-02-27,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-02-27,8.0
"Cumulative number of confirmed Ebola deaths",Senegal,2015-02-27,0.0
"Cumulative number of probable Ebola deaths",Senegal,2015-02-27,0.0
"Cumulative number of suspected Ebola deaths",Senegal,2015-02-27,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-02-27,0.0
"Cumulative number of confirmed Ebola deaths",Spain,2015-02-27,0.0
"Cumulative number of probable Ebola deaths",Spain,2015-02-27,0.0
"Cumulative number of suspected Ebola deaths",Spain,2015-02-27,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-02-27,0.0
"Cumulative number of confirmed Ebola deaths","United States of America",2015-02-27,1.0
"Cumulative number of probable Ebola deaths","United States of America",2015-02-27,0.0
"Cumulative number of suspected Ebola deaths","United States of America",2015-02-27,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United States of America",2015-02-27,1.0
"Cumulative number of confirmed Ebola cases","United Kingdom",2015-02-26,1.0
